Time,Pitch_Hz
0.041088,NA
0.051088,NA
0.061088,117.92
0.071088,117.55
0.081088,118.06
0.091088,117.93
0.101088,118.09
0.111088,NA
0.121088,NA
0.131088,NA
0.141088,NA
0.151088,NA
0.161088,NA
0.171088,NA
0.181088,NA
0.191088,NA
0.201088,NA
0.211088,NA
0.221088,NA
0.231088,NA
0.241088,NA
0.251088,NA
0.261088,NA
0.271088,NA
0.281088,NA
0.291088,NA
0.301088,NA
0.311088,NA
0.321088,NA
0.331088,NA
0.341088,NA
0.351088,NA
0.361088,NA
0.371088,NA
0.381088,NA
0.391088,NA
0.401088,NA
0.411088,NA
0.421088,NA
0.431088,NA
0.441088,NA
0.451088,NA
0.461088,NA
0.471088,NA
0.481088,NA
0.491088,NA
0.501088,NA
0.511088,NA
0.521088,NA
0.531088,NA
0.541088,NA
0.551088,NA
0.561088,NA
0.571088,NA
0.581088,NA
0.591088,NA
0.601088,NA
0.611088,NA
0.621088,NA
0.631088,NA
0.641088,264.73
0.651088,267.08
0.661088,270.03
0.671088,267.05
0.681088,260.29
0.691088,249.90
0.701088,NA
0.711088,79.77
0.721088,78.55
0.731088,NA
0.741088,NA
0.751088,NA
0.761088,NA
0.771088,NA
0.781088,NA
0.791088,NA
0.801088,NA
0.811088,262.91
0.821088,255.03
0.831088,248.43
0.841088,242.15
0.851088,235.53
0.861088,229.26
0.871088,223.05
0.881088,216.77
0.891088,212.48
0.901088,208.55
0.911088,204.69
0.921088,202.14
0.931088,200.25
0.941088,199.30
0.951088,197.35
0.961088,195.89
0.971088,195.09
0.981088,194.84
0.991088,195.19
1.001088,198.88
1.011088,203.45
1.021088,209.57
1.031088,218.65
1.041088,228.85
1.051088,241.83
1.061088,253.49
1.071088,267.61
1.081088,283.34
1.091088,299.08
1.101088,320.01
1.111088,337.36
1.121088,362.23
1.131088,384.36
1.141088,410.83
1.151088,448.87
1.161088,475.58
1.171088,494.86
1.181088,NA
1.191088,NA
1.201088,NA
1.211088,NA
1.221088,NA
1.231088,NA
1.241088,NA
1.251088,NA
1.261088,NA
1.271088,NA
1.281088,NA
1.291088,NA
1.301088,NA
1.311088,NA
1.321088,NA
1.331088,NA
1.341088,NA
1.351088,76.62
1.361088,83.35
1.371088,84.17
1.381088,84.68
1.391088,84.59
1.401088,88.15
1.411088,87.42
1.421088,86.31
1.431088,86.17
1.441088,NA
1.451088,NA
1.461088,NA
1.471088,170.11
1.481088,167.54
1.491088,166.79
1.501088,164.76
1.511088,165.10
1.521088,NA
1.531088,NA
1.541088,NA
1.551088,NA
1.561088,NA
