Time,Pitch_Hz
0.041961,NA
0.051961,NA
0.061961,NA
0.071961,NA
0.081961,NA
0.091961,NA
0.101961,NA
0.111961,NA
0.121961,NA
0.131961,NA
0.141961,NA
0.151961,NA
0.161961,NA
0.171961,NA
0.181961,NA
0.191961,NA
0.201961,NA
0.211961,NA
0.221961,NA
0.231961,NA
0.241961,NA
0.251961,NA
0.261961,NA
0.271961,NA
0.281961,NA
0.291961,NA
0.301961,NA
0.311961,NA
0.321961,NA
0.331961,NA
0.341961,NA
0.351961,NA
0.361961,NA
0.371961,NA
0.381961,NA
0.391961,211.57
0.401961,215.73
0.411961,214.64
0.421961,215.23
0.431961,217.42
0.441961,221.06
0.451961,225.08
0.461961,226.77
0.471961,228.34
0.481961,230.55
0.491961,232.22
0.501961,231.78
0.511961,230.34
0.521961,224.65
0.531961,223.50
0.541961,225.66
0.551961,228.23
0.561961,229.27
0.571961,227.13
0.581961,224.83
0.591961,224.18
0.601961,225.32
0.611961,227.07
0.621961,224.76
0.631961,218.08
0.641961,205.73
0.651961,199.57
0.661961,195.24
0.671961,195.09
0.681961,191.10
0.691961,191.64
0.701961,188.26
0.711961,187.70
0.721961,186.10
0.731961,183.57
0.741961,180.95
0.751961,178.17
0.761961,190.54
0.771961,186.71
0.781961,185.26
0.791961,183.64
0.801961,182.83
0.811961,183.25
0.821961,184.94
0.831961,187.40
0.841961,194.32
0.851961,209.25
0.861961,236.84
0.871961,261.48
0.881961,288.31
0.891961,307.60
0.901961,321.69
0.911961,350.73
0.921961,392.02
0.931961,432.47
0.941961,463.78
0.951961,488.33
0.961961,490.07
0.971961,NA
0.981961,NA
0.991961,NA
1.001961,NA
1.011961,NA
1.021961,NA
1.031961,NA
1.041961,NA
1.051961,NA
1.061961,NA
1.071961,NA
1.081961,NA
1.091961,NA
1.101961,NA
1.111961,NA
1.121961,NA
1.131961,NA
1.141961,NA
1.151961,NA
1.161961,NA
1.171961,NA
1.181961,NA
1.191961,NA
1.201961,NA
1.211961,NA
1.221961,NA
1.231961,NA
1.241961,NA
1.251961,NA
1.261961,NA
1.271961,NA
1.281961,NA
1.291961,NA
1.301961,NA
1.311961,NA
1.321961,NA
1.331961,NA
1.341961,NA
1.351961,NA
1.361961,NA
1.371961,NA
1.381961,NA
1.391961,NA
1.401961,NA
1.411961,NA
1.421961,NA
1.431961,NA
1.441961,NA
1.451961,NA
1.461961,NA
1.471961,NA
1.481961,NA
1.491961,NA
1.501961,NA
1.511961,NA
1.521961,323.68
1.531961,333.52
1.541961,NA
1.551961,NA
1.561961,NA
1.571961,NA
1.581961,NA
1.591961,NA
1.601961,NA
1.611961,NA
1.621961,NA
1.631961,NA
1.641961,NA
1.651961,NA
1.661961,NA
1.671961,NA
