Time,Pitch_Hz
0.040397,NA
0.050397,NA
0.060397,NA
0.070397,NA
0.080397,NA
0.090397,NA
0.100397,NA
0.110397,NA
0.120397,NA
0.130397,NA
0.140397,NA
0.150397,NA
0.160397,NA
0.170397,NA
0.180397,NA
0.190397,NA
0.200397,NA
0.210397,NA
0.220397,NA
0.230397,NA
0.240397,NA
0.250397,NA
0.260397,NA
0.270397,NA
0.280397,NA
0.290397,NA
0.300397,NA
0.310397,NA
0.320397,NA
0.330397,NA
0.340397,NA
0.350397,NA
0.360397,NA
0.370397,NA
0.380397,NA
0.390397,NA
0.400397,NA
0.410397,NA
0.420397,NA
0.430397,NA
0.440397,141.82
0.450397,133.95
0.460397,133.94
0.470397,133.00
0.480397,130.18
0.490397,122.83
0.500397,NA
0.510397,NA
0.520397,269.37
0.530397,268.54
0.540397,NA
0.550397,NA
0.560397,NA
0.570397,NA
0.580397,NA
0.590397,NA
0.600397,NA
0.610397,NA
0.620397,NA
0.630397,NA
0.640397,NA
0.650397,NA
0.660397,NA
0.670397,NA
0.680397,NA
0.690397,NA
0.700397,NA
0.710397,NA
0.720397,NA
0.730397,NA
0.740397,NA
0.750397,134.35
0.760397,134.49
0.770397,136.16
0.780397,136.33
0.790397,136.70
0.800397,137.11
0.810397,136.78
0.820397,135.02
0.830397,132.10
0.840397,128.35
0.850397,124.36
0.860397,121.31
0.870397,118.17
0.880397,115.80
0.890397,113.64
0.900397,112.66
0.910397,112.80
0.920397,112.06
0.930397,110.05
0.940397,108.14
0.950397,105.75
0.960397,103.89
0.970397,102.51
0.980397,101.64
0.990397,100.35
1.000397,98.70
1.010397,98.00
1.020397,NA
1.030397,NA
1.040397,NA
1.050397,NA
1.060397,NA
1.070397,NA
1.080397,NA
1.090397,NA
1.100397,NA
1.110397,NA
1.120397,NA
1.130397,NA
1.140397,NA
1.150397,NA
1.160397,NA
1.170397,NA
1.180397,NA
1.190397,NA
1.200397,NA
1.210397,NA
1.220397,NA
1.230397,NA
1.240397,NA
1.250397,NA
1.260397,NA
1.270397,NA
1.280397,NA
1.290397,NA
