Time,Pitch_Hz
0.042778,NA
0.052778,NA
0.062778,NA
0.072778,144.05
0.082778,143.23
0.092778,NA
0.102778,NA
0.112778,NA
0.122778,NA
0.132778,133.45
0.142778,142.27
0.152778,141.65
0.162778,140.92
0.172778,139.70
0.182778,132.47
0.192778,NA
0.202778,NA
0.212778,NA
0.222778,NA
0.232778,NA
0.242778,NA
0.252778,NA
0.262778,NA
0.272778,NA
0.282778,NA
0.292778,NA
0.302778,NA
0.312778,NA
0.322778,NA
0.332778,NA
0.342778,NA
0.352778,NA
0.362778,NA
0.372778,NA
0.382778,NA
0.392778,NA
0.402778,NA
0.412778,128.07
0.422778,127.70
0.432778,127.90
0.442778,126.88
0.452778,127.36
0.462778,128.93
0.472778,130.76
0.482778,132.74
0.492778,134.36
0.502778,136.33
0.512778,138.21
0.522778,139.66
0.532778,141.02
0.542778,141.61
0.552778,143.71
0.562778,150.35
0.572778,158.09
0.582778,167.10
0.592778,174.05
0.602778,180.36
0.612778,184.98
0.622778,187.70
0.632778,190.35
0.642778,193.58
0.652778,197.22
0.662778,200.33
0.672778,203.54
0.682778,206.06
0.692778,205.94
0.702778,202.62
0.712778,NA
0.722778,NA
0.732778,NA
0.742778,NA
0.752778,NA
0.762778,NA
0.772778,NA
0.782778,NA
0.792778,NA
0.802778,NA
0.812778,NA
0.822778,NA
0.832778,NA
0.842778,NA
0.852778,NA
0.862778,NA
0.872778,NA
0.882778,NA
0.892778,NA
0.902778,NA
0.912778,NA
0.922778,NA
0.932778,NA
0.942778,NA
0.952778,NA
