Time,Pitch_Hz
0.042188,NA
0.052188,NA
0.062188,NA
0.072188,NA
0.082188,NA
0.092188,NA
0.102188,NA
0.112188,NA
0.122188,NA
0.132188,NA
0.142188,NA
0.152188,NA
0.162188,NA
0.172188,NA
0.182188,NA
0.192188,NA
0.202188,NA
0.212188,NA
0.222188,NA
0.232188,NA
0.242188,NA
0.252188,NA
0.262188,NA
0.272188,NA
0.282188,NA
0.292188,NA
0.302188,NA
0.312188,NA
0.322188,NA
0.332188,NA
0.342188,NA
0.352188,NA
0.362188,NA
0.372188,NA
0.382188,NA
0.392188,NA
0.402188,NA
0.412188,NA
0.422188,NA
0.432188,NA
0.442188,NA
0.452188,NA
0.462188,NA
0.472188,NA
0.482188,NA
0.492188,NA
0.502188,NA
0.512188,NA
0.522188,NA
0.532188,NA
0.542188,NA
0.552188,NA
0.562188,NA
0.572188,NA
0.582188,133.57
0.592188,130.91
0.602188,132.70
0.612188,131.50
0.622188,131.08
0.632188,131.88
0.642188,131.93
0.652188,130.78
0.662188,128.02
0.672188,123.55
0.682188,NA
0.692188,NA
0.702188,NA
0.712188,NA
0.722188,NA
0.732188,NA
0.742188,NA
0.752188,NA
0.762188,NA
0.772188,NA
0.782188,NA
0.792188,NA
0.802188,NA
0.812188,122.14
0.822188,116.37
0.832188,110.47
0.842188,106.11
0.852188,102.44
0.862188,101.78
0.872188,100.53
0.882188,98.73
0.892188,97.52
0.902188,96.62
0.912188,NA
0.922188,NA
0.932188,NA
0.942188,NA
0.952188,NA
0.962188,NA
0.972188,NA
0.982188,NA
0.992188,NA
1.002188,NA
1.012188,NA
1.022188,NA
1.032188,NA
1.042188,NA
1.052188,NA
1.062188,NA
1.072188,NA
1.082188,NA
1.092188,NA
1.102188,NA
1.112188,NA
1.122188,NA
1.132188,NA
1.142188,NA
1.152188,NA
