Time,Pitch_Hz
0.043889,NA
0.053889,NA
0.063889,NA
0.073889,NA
0.083889,NA
0.093889,NA
0.103889,NA
0.113889,NA
0.123889,NA
0.133889,NA
0.143889,NA
0.153889,NA
0.163889,NA
0.173889,NA
0.183889,NA
0.193889,NA
0.203889,NA
0.213889,NA
0.223889,NA
0.233889,NA
0.243889,NA
0.253889,NA
0.263889,NA
0.273889,NA
0.283889,NA
0.293889,NA
0.303889,NA
0.313889,NA
0.323889,NA
0.333889,NA
0.343889,129.62
0.353889,127.67
0.363889,125.79
0.373889,124.72
0.383889,123.90
0.393889,123.62
0.403889,123.12
0.413889,122.34
0.423889,121.99
0.433889,121.67
0.443889,120.43
0.453889,118.75
0.463889,117.75
0.473889,116.68
0.483889,116.13
0.493889,114.94
0.503889,113.83
0.513889,112.91
0.523889,112.76
0.533889,108.89
0.543889,108.00
0.553889,110.50
0.563889,110.14
0.573889,103.55
0.583889,101.73
0.593889,NA
0.603889,NA
0.613889,NA
0.623889,NA
0.633889,120.48
0.643889,121.23
0.653889,129.19
0.663889,132.02
0.673889,133.00
0.683889,135.09
0.693889,137.34
0.703889,140.25
0.713889,142.72
0.723889,145.77
0.733889,151.48
0.743889,157.14
0.753889,161.43
0.763889,167.15
0.773889,170.53
0.783889,173.98
0.793889,178.08
0.803889,182.11
0.813889,185.87
0.823889,189.30
0.833889,193.87
0.843889,199.98
0.853889,206.18
0.863889,212.26
0.873889,218.51
0.883889,221.10
0.893889,221.83
0.903889,NA
0.913889,NA
0.923889,NA
0.933889,NA
0.943889,NA
0.953889,NA
0.963889,NA
0.973889,NA
0.983889,NA
0.993889,NA
1.003889,NA
1.013889,NA
1.023889,NA
1.033889,NA
1.043889,NA
1.053889,NA
1.063889,NA
1.073889,NA
1.083889,NA
1.093889,NA
