Time,Pitch_Hz
0.044365,NA
0.054365,NA
0.064365,NA
0.074365,NA
0.084365,NA
0.094365,NA
0.104365,NA
0.114365,NA
0.124365,NA
0.134365,NA
0.144365,NA
0.154365,NA
0.164365,NA
0.174365,NA
0.184365,NA
0.194365,NA
0.204365,NA
0.214365,NA
0.224365,NA
0.234365,NA
0.244365,NA
0.254365,NA
0.264365,NA
0.274365,NA
0.284365,NA
0.294365,NA
0.304365,NA
0.314365,NA
0.324365,NA
0.334365,NA
0.344365,NA
0.354365,NA
0.364365,NA
0.374365,NA
0.384365,NA
0.394365,NA
0.404365,NA
0.414365,NA
0.424365,NA
0.434365,NA
0.444365,NA
0.454365,NA
0.464365,NA
0.474365,NA
0.484365,194.94
0.494365,186.08
0.504365,180.27
0.514365,179.61
0.524365,181.49
0.534365,187.91
0.544365,195.90
0.554365,205.51
0.564365,214.96
0.574365,218.88
0.584365,223.86
0.594365,227.36
0.604365,228.19
0.614365,226.95
0.624365,224.65
0.634365,220.51
0.644365,219.03
0.654365,217.43
0.664365,213.53
0.674365,207.27
0.684365,204.68
0.694365,201.33
0.704365,199.17
0.714365,194.56
0.724365,189.33
0.734365,185.40
0.744365,185.93
0.754365,180.70
0.764365,179.04
0.774365,176.18
0.784365,174.55
0.794365,175.32
0.804365,175.92
0.814365,177.72
0.824365,177.38
0.834365,176.87
0.844365,176.04
0.854365,175.35
0.864365,175.73
0.874365,173.81
0.884365,171.88
0.894365,164.97
0.904365,164.16
0.914365,162.31
0.924365,NA
0.934365,NA
0.944365,NA
0.954365,NA
0.964365,NA
0.974365,NA
0.984365,NA
0.994365,NA
1.004365,NA
1.014365,NA
1.024365,NA
1.034365,NA
1.044365,NA
1.054365,NA
1.064365,NA
1.074365,NA
1.084365,NA
1.094365,NA
1.104365,NA
1.114365,NA
1.124365,NA
1.134365,NA
1.144365,NA
1.154365,NA
