Time,Pitch_Hz
0.040147,NA
0.050147,NA
0.060147,NA
0.070147,NA
0.080147,NA
0.090147,NA
0.100147,NA
0.110147,NA
0.120147,NA
0.130147,NA
0.140147,NA
0.150147,NA
0.160147,NA
0.170147,NA
0.180147,NA
0.190147,NA
0.200147,NA
0.210147,NA
0.220147,NA
0.230147,NA
0.240147,NA
0.250147,NA
0.260147,NA
0.270147,NA
0.280147,NA
0.290147,NA
0.300147,NA
0.310147,NA
0.320147,NA
0.330147,NA
0.340147,NA
0.350147,NA
0.360147,NA
0.370147,NA
0.380147,208.98
0.390147,200.12
0.400147,199.02
0.410147,203.52
0.420147,211.69
0.430147,222.51
0.440147,228.88
0.450147,231.41
0.460147,231.33
0.470147,234.21
0.480147,238.18
0.490147,240.86
0.500147,243.06
0.510147,244.29
0.520147,245.23
0.530147,245.43
0.540147,243.00
0.550147,211.09
0.560147,223.07
0.570147,236.14
0.580147,243.64
0.590147,247.98
0.600147,249.13
0.610147,248.96
0.620147,247.70
0.630147,246.68
0.640147,245.53
0.650147,244.85
0.660147,245.05
0.670147,244.81
0.680147,243.28
0.690147,230.68
0.700147,208.64
0.710147,204.54
0.720147,200.15
0.730147,198.99
0.740147,188.98
0.750147,180.59
0.760147,176.22
0.770147,175.07
0.780147,171.75
0.790147,171.57
0.800147,171.99
0.810147,167.16
0.820147,167.64
0.830147,182.54
0.840147,187.89
0.850147,196.95
0.860147,204.96
0.870147,214.63
0.880147,226.12
0.890147,235.19
0.900147,240.61
0.910147,231.48
0.920147,221.02
0.930147,230.41
0.940147,232.80
0.950147,233.94
0.960147,NA
0.970147,NA
0.980147,NA
0.990147,NA
1.000147,NA
1.010147,NA
1.020147,NA
1.030147,NA
1.040147,NA
1.050147,NA
1.060147,NA
1.070147,NA
1.080147,NA
1.090147,NA
1.100147,NA
1.110147,NA
1.120147,NA
1.130147,NA
1.140147,NA
1.150147,NA
1.160147,NA
1.170147,NA
1.180147,NA
1.190147,NA
1.200147,NA
1.210147,NA
1.220147,NA
1.230147,NA
1.240147,NA
1.250147,NA
1.260147,NA
1.270147,NA
1.280147,NA
1.290147,NA
1.300147,NA
1.310147,NA
1.320147,NA
1.330147,NA
1.340147,NA
1.350147,577.67
