Time,Pitch_Hz
0.042245,NA
0.052245,NA
0.062245,NA
0.072245,NA
0.082245,NA
0.092245,NA
0.102245,NA
0.112245,NA
0.122245,NA
0.132245,NA
0.142245,NA
0.152245,NA
0.162245,NA
0.172245,NA
0.182245,NA
0.192245,NA
0.202245,NA
0.212245,NA
0.222245,NA
0.232245,NA
0.242245,NA
0.252245,NA
0.262245,NA
0.272245,NA
0.282245,NA
0.292245,NA
0.302245,NA
0.312245,NA
0.322245,NA
0.332245,NA
0.342245,NA
0.352245,NA
0.362245,NA
0.372245,NA
0.382245,243.39
0.392245,236.35
0.402245,231.82
0.412245,231.56
0.422245,229.98
0.432245,225.35
0.442245,220.23
0.452245,224.56
0.462245,227.52
0.472245,228.93
0.482245,231.51
0.492245,232.58
0.502245,244.07
0.512245,249.00
0.522245,249.28
0.532245,253.00
0.542245,256.61
0.552245,259.97
0.562245,261.68
0.572245,262.09
0.582245,261.43
0.592245,255.55
0.602245,236.32
0.612245,228.65
0.622245,253.51
0.632245,263.41
0.642245,251.36
0.652245,252.60
0.662245,256.48
0.672245,293.44
0.682245,293.10
0.692245,289.03
0.702245,288.81
0.712245,288.20
0.722245,285.19
0.732245,283.04
0.742245,280.02
0.752245,276.10
0.762245,274.15
0.772245,272.39
0.782245,269.15
0.792245,267.14
0.802245,267.07
0.812245,264.39
0.822245,261.38
0.832245,258.98
0.842245,255.20
0.852245,248.79
0.862245,241.22
0.872245,239.10
0.882245,236.63
0.892245,225.26
0.902245,218.33
0.912245,232.61
0.922245,242.42
0.932245,256.70
0.942245,257.82
0.952245,NA
0.962245,NA
0.972245,240.12
0.982245,237.20
0.992245,223.12
1.002245,219.08
1.012245,216.31
1.022245,214.25
1.032245,212.62
1.042245,210.13
1.052245,205.76
1.062245,192.30
1.072245,191.79
1.082245,NA
1.092245,NA
1.102245,NA
1.112245,NA
1.122245,216.34
1.132245,221.06
1.142245,218.31
1.152245,217.96
1.162245,221.03
1.172245,226.45
1.182245,231.02
1.192245,235.50
1.202245,242.33
1.212245,255.45
1.222245,259.19
1.232245,273.28
1.242245,284.81
1.252245,298.30
1.262245,317.14
1.272245,335.40
1.282245,354.36
1.292245,367.18
1.302245,383.83
1.312245,401.98
1.322245,417.51
1.332245,427.38
1.342245,430.16
1.352245,429.24
1.362245,420.05
1.372245,396.63
1.382245,339.35
1.392245,313.44
1.402245,287.25
1.412245,262.26
1.422245,245.05
1.432245,226.84
1.442245,209.79
1.452245,202.37
1.462245,201.86
1.472245,92.53
1.482245,90.87
1.492245,88.95
1.502245,89.81
1.512245,88.47
1.522245,81.93
1.532245,NA
1.542245,NA
1.552245,NA
1.562245,NA
1.572245,NA
1.582245,NA
1.592245,NA
1.602245,NA
1.612245,NA
1.622245,NA
1.632245,NA
1.642245,NA
1.652245,NA
1.662245,NA
1.672245,NA
1.682245,NA
1.692245,NA
1.702245,NA
1.712245,NA
1.722245,NA
1.732245,NA
1.742245,NA
1.752245,NA
1.762245,NA
1.772245,NA
1.782245,NA
1.792245,NA
1.802245,NA
1.812245,NA
1.822245,NA
1.832245,NA
1.842245,NA
1.852245,NA
1.862245,NA
1.872245,NA
1.882245,NA
1.892245,NA
1.902245,NA
1.912245,NA
1.922245,NA
1.932245,NA
1.942245,NA
1.952245,NA
1.962245,NA
1.972245,NA
1.982245,NA
