Time,Pitch_Hz
0.041270,NA
0.051270,NA
0.061270,NA
0.071270,NA
0.081270,NA
0.091270,NA
0.101270,NA
0.111270,NA
0.121270,NA
0.131270,NA
0.141270,NA
0.151270,NA
0.161270,NA
0.171270,NA
0.181270,NA
0.191270,NA
0.201270,NA
0.211270,NA
0.221270,NA
0.231270,NA
0.241270,NA
0.251270,NA
0.261270,NA
0.271270,NA
0.281270,NA
0.291270,NA
0.301270,NA
0.311270,NA
0.321270,NA
0.331270,NA
0.341270,NA
0.351270,NA
0.361270,NA
0.371270,NA
0.381270,NA
0.391270,NA
0.401270,NA
0.411270,NA
0.421270,NA
0.431270,NA
0.441270,NA
0.451270,NA
0.461270,NA
0.471270,NA
0.481270,NA
0.491270,NA
0.501270,NA
0.511270,NA
0.521270,NA
0.531270,NA
0.541270,NA
0.551270,NA
0.561270,NA
0.571270,NA
0.581270,NA
0.591270,NA
0.601270,127.32
0.611270,121.03
0.621270,119.54
0.631270,118.85
0.641270,118.08
0.651270,119.33
0.661270,123.15
0.671270,124.62
0.681270,125.79
0.691270,125.31
0.701270,122.15
0.711270,NA
0.721270,NA
0.731270,NA
0.741270,NA
0.751270,NA
0.761270,NA
0.771270,NA
0.781270,NA
0.791270,153.41
0.801270,149.88
0.811270,145.01
0.821270,142.07
0.831270,139.21
0.841270,133.95
0.851270,129.56
0.861270,125.84
0.871270,122.71
0.881270,116.34
0.891270,113.12
0.901270,109.04
0.911270,103.71
0.921270,100.20
0.931270,97.36
0.941270,95.64
0.951270,91.99
0.961270,92.48
0.971270,91.97
0.981270,88.99
0.991270,92.14
1.001270,90.66
1.011270,91.43
1.021270,93.67
1.031270,103.80
1.041270,99.41
1.051270,97.24
1.061270,96.85
1.071270,97.14
1.081270,97.57
1.091270,97.49
1.101270,98.10
1.111270,99.41
1.121270,100.20
1.131270,100.94
1.141270,101.73
1.151270,103.08
1.161270,105.16
1.171270,112.17
1.181270,108.75
1.191270,NA
1.201270,NA
1.211270,NA
1.221270,NA
1.231270,NA
1.241270,NA
1.251270,NA
1.261270,NA
1.271270,NA
1.281270,NA
1.291270,NA
1.301270,NA
1.311270,NA
1.321270,NA
1.331270,NA
1.341270,NA
1.351270,NA
1.361270,NA
1.371270,NA
1.381270,NA
1.391270,NA
1.401270,NA
1.411270,NA
1.421270,NA
1.431270,NA
1.441270,NA
1.451270,NA
1.461270,NA
1.471270,NA
1.481270,NA
1.491270,NA
1.501270,NA
1.511270,NA
1.521270,NA
1.531270,NA
1.541270,NA
1.551270,NA
1.561270,NA
1.571270,NA
1.581270,NA
1.591270,NA
1.601270,NA
1.611270,NA
1.621270,NA
1.631270,NA
1.641270,NA
1.651270,NA
1.661270,NA
1.671270,NA
1.681270,NA
1.691270,NA
1.701270,NA
1.711270,NA
1.721270,NA
1.731270,NA
1.741270,NA
1.751270,NA
1.761270,NA
1.771270,NA
1.781270,NA
1.791270,NA
1.801270,NA
1.811270,NA
1.821270,NA
1.831270,NA
1.841270,NA
1.851270,NA
1.861270,NA
1.871270,NA
1.881270,NA
