Time,Pitch_Hz
0.043254,NA
0.053254,NA
0.063254,NA
0.073254,NA
0.083254,NA
0.093254,NA
0.103254,NA
0.113254,NA
0.123254,NA
0.133254,NA
0.143254,NA
0.153254,NA
0.163254,NA
0.173254,NA
0.183254,NA
0.193254,NA
0.203254,NA
0.213254,NA
0.223254,NA
0.233254,NA
0.243254,NA
0.253254,NA
0.263254,NA
0.273254,NA
0.283254,NA
0.293254,NA
0.303254,NA
0.313254,NA
0.323254,NA
0.333254,NA
0.343254,NA
0.353254,NA
0.363254,NA
0.373254,NA
0.383254,NA
0.393254,NA
0.403254,NA
0.413254,NA
0.423254,NA
0.433254,NA
0.443254,NA
0.453254,NA
0.463254,NA
0.473254,NA
0.483254,NA
0.493254,NA
0.503254,NA
0.513254,NA
0.523254,NA
0.533254,NA
0.543254,106.68
0.553254,105.42
0.563254,105.47
0.573254,105.61
0.583254,104.85
0.593254,103.15
0.603254,98.61
0.613254,94.09
0.623254,96.62
0.633254,97.62
0.643254,97.55
0.653254,96.73
0.663254,97.51
0.673254,99.60
0.683254,110.12
0.693254,109.89
0.703254,107.09
0.713254,107.04
0.723254,106.50
0.733254,102.72
0.743254,100.77
0.753254,106.50
0.763254,109.37
0.773254,110.45
0.783254,111.85
0.793254,114.43
0.803254,118.18
0.813254,124.71
0.823254,124.79
0.833254,124.83
0.843254,125.59
0.853254,127.08
0.863254,129.54
0.873254,132.55
0.883254,133.38
0.893254,134.98
0.903254,135.85
0.913254,136.26
0.923254,133.20
0.933254,131.16
0.943254,129.42
0.953254,129.83
0.963254,133.55
0.973254,134.64
0.983254,136.55
0.993254,136.80
1.003254,137.14
1.013254,137.20
1.023254,136.54
1.033254,136.33
1.043254,136.46
1.053254,135.66
1.063254,134.92
1.073254,136.66
1.083254,137.09
1.093254,137.18
1.103254,137.74
1.113254,138.07
1.123254,137.55
1.133254,137.78
1.143254,138.64
1.153254,137.83
1.163254,138.61
1.173254,137.46
1.183254,138.45
1.193254,137.35
1.203254,136.09
1.213254,136.52
1.223254,133.43
1.233254,NA
1.243254,NA
1.253254,NA
1.263254,NA
1.273254,87.93
1.283254,87.02
1.293254,NA
1.303254,NA
1.313254,NA
1.323254,NA
1.333254,NA
1.343254,NA
1.353254,NA
1.363254,NA
1.373254,NA
1.383254,NA
1.393254,NA
1.403254,NA
1.413254,NA
1.423254,NA
1.433254,NA
1.443254,NA
1.453254,NA
1.463254,NA
1.473254,NA
1.483254,NA
1.493254,NA
1.503254,NA
1.513254,NA
1.523254,NA
1.533254,NA
1.543254,NA
1.553254,NA
1.563254,NA
1.573254,NA
1.583254,NA
1.593254,NA
1.603254,NA
1.613254,NA
1.623254,NA
1.633254,NA
1.643254,NA
1.653254,NA
1.663254,NA
1.673254,NA
1.683254,NA
1.693254,NA
1.703254,NA
1.713254,NA
