Time,Pitch_Hz
0.043889,NA
0.053889,NA
0.063889,NA
0.073889,NA
0.083889,NA
0.093889,NA
0.103889,NA
0.113889,NA
0.123889,NA
0.133889,NA
0.143889,NA
0.153889,NA
0.163889,NA
0.173889,NA
0.183889,NA
0.193889,NA
0.203889,NA
0.213889,NA
0.223889,NA
0.233889,NA
0.243889,NA
0.253889,NA
0.263889,NA
0.273889,NA
0.283889,NA
0.293889,NA
0.303889,80.12
0.313889,78.59
0.323889,78.60
0.333889,78.70
0.343889,79.95
0.353889,80.86
0.363889,81.32
0.373889,NA
0.383889,NA
0.393889,80.74
0.403889,79.18
0.413889,79.17
0.423889,79.42
0.433889,79.29
0.443889,82.27
0.453889,82.32
0.463889,NA
0.473889,NA
0.483889,NA
0.493889,NA
0.503889,NA
0.513889,NA
0.523889,NA
0.533889,NA
0.543889,NA
0.553889,82.59
0.563889,82.11
0.573889,82.16
0.583889,81.97
0.593889,80.43
0.603889,79.54
0.613889,79.06
0.623889,NA
0.633889,NA
0.643889,NA
0.653889,NA
0.663889,84.21
0.673889,83.79
0.683889,83.10
0.693889,83.56
0.703889,NA
0.713889,NA
0.723889,NA
0.733889,NA
0.743889,NA
0.753889,NA
0.763889,NA
0.773889,NA
0.783889,NA
0.793889,NA
0.803889,NA
0.813889,NA
0.823889,NA
0.833889,NA
0.843889,NA
0.853889,227.10
0.863889,215.07
0.873889,204.91
0.883889,199.24
0.893889,193.29
0.903889,190.61
0.913889,188.55
0.923889,187.09
0.933889,202.70
0.943889,204.79
0.953889,203.79
0.963889,204.46
0.973889,204.33
0.983889,204.17
0.993889,204.88
1.003889,207.10
1.013889,212.57
1.023889,212.75
1.033889,212.60
1.043889,211.91
1.053889,211.34
1.063889,204.82
1.073889,NA
1.083889,NA
1.093889,NA
1.103889,NA
1.113889,NA
1.123889,NA
1.133889,NA
1.143889,NA
1.153889,NA
1.163889,NA
1.173889,NA
1.183889,NA
1.193889,NA
1.203889,NA
1.213889,NA
1.223889,199.84
1.233889,198.35
1.243889,196.21
1.253889,192.39
1.263889,188.03
1.273889,185.48
1.283889,184.22
1.293889,181.86
1.303889,180.71
1.313889,182.40
1.323889,184.51
1.333889,NA
1.343889,NA
1.353889,NA
1.363889,NA
1.373889,NA
1.383889,NA
1.393889,NA
1.403889,NA
1.413889,NA
1.423889,NA
1.433889,NA
1.443889,NA
1.453889,NA
1.463889,NA
1.473889,NA
1.483889,NA
1.493889,285.58
1.503889,280.91
1.513889,278.51
1.523889,287.15
1.533889,308.72
1.543889,332.62
1.553889,185.53
1.563889,199.79
1.573889,207.90
1.583889,NA
1.593889,288.67
1.603889,302.74
1.613889,315.87
1.623889,329.38
1.633889,336.72
1.643889,343.29
1.653889,346.77
1.663889,NA
1.673889,NA
1.683889,NA
1.693889,NA
1.703889,NA
1.713889,NA
1.723889,NA
1.733889,NA
1.743889,NA
1.753889,NA
1.763889,NA
1.773889,NA
1.783889,NA
1.793889,NA
1.803889,NA
1.813889,NA
1.823889,NA
1.833889,NA
1.843889,NA
1.853889,NA
1.863889,NA
1.873889,NA
1.883889,NA
1.893889,NA
1.903889,NA
1.913889,NA
1.923889,NA
1.933889,NA
1.943889,NA
1.953889,NA
1.963889,NA
1.973889,NA
1.983889,NA
1.993889,NA
2.003889,NA
2.013889,NA
2.023889,NA
2.033889,NA
2.043889,NA
2.053889,NA
2.063889,NA
2.073889,NA
2.083889,NA
2.093889,NA
2.103889,NA
2.113889,NA
2.123889,NA
2.133889,NA
2.143889,NA
2.153889,76.23
2.163889,76.74
2.173889,78.88
2.183889,80.08
2.193889,NA
2.203889,NA
2.213889,NA
2.223889,NA
2.233889,NA
2.243889,NA
2.253889,NA
2.263889,NA
2.273889,NA
2.283889,NA
2.293889,NA
2.303889,NA
2.313889,NA
2.323889,NA
2.333889,NA
2.343889,NA
2.353889,NA
2.363889,NA
2.373889,NA
2.383889,NA
2.393889,NA
