Time,Pitch_Hz
0.041587,NA
0.051587,NA
0.061587,NA
0.071587,NA
0.081587,NA
0.091587,NA
0.101587,NA
0.111587,NA
0.121587,NA
0.131587,NA
0.141587,NA
0.151587,NA
0.161587,NA
0.171587,NA
0.181587,NA
0.191587,NA
0.201587,NA
0.211587,NA
0.221587,NA
0.231587,NA
0.241587,NA
0.251587,NA
0.261587,NA
0.271587,NA
0.281587,NA
0.291587,NA
0.301587,NA
0.311587,NA
0.321587,NA
0.331587,NA
0.341587,NA
0.351587,NA
0.361587,NA
0.371587,NA
0.381587,NA
0.391587,NA
0.401587,246.64
0.411587,224.82
0.421587,197.03
0.431587,182.71
0.441587,173.19
0.451587,165.80
0.461587,167.20
0.471587,168.46
0.481587,172.09
0.491587,172.66
0.501587,175.92
0.511587,178.62
0.521587,179.99
0.531587,183.31
0.541587,188.09
0.551587,196.68
0.561587,204.65
0.571587,214.69
0.581587,225.33
0.591587,232.49
0.601587,236.45
0.611587,235.63
0.621587,230.67
0.631587,223.94
0.641587,212.69
0.651587,200.58
0.661587,193.95
0.671587,184.61
0.681587,176.52
0.691587,168.95
0.701587,165.60
0.711587,167.98
0.721587,167.56
0.731587,168.72
0.741587,169.76
0.751587,172.92
0.761587,178.54
0.771587,186.61
0.781587,197.17
0.791587,208.30
0.801587,220.46
0.811587,238.13
0.821587,242.63
0.831587,NA
0.841587,NA
0.851587,NA
0.861587,NA
0.871587,NA
0.881587,NA
0.891587,NA
0.901587,NA
0.911587,NA
0.921587,NA
0.931587,NA
0.941587,NA
0.951587,NA
0.961587,NA
0.971587,NA
0.981587,NA
0.991587,NA
1.001587,NA
1.011587,NA
1.021587,NA
1.031587,NA
1.041587,NA
1.051587,NA
1.061587,NA
1.071587,NA
1.081587,NA
1.091587,NA
1.101587,NA
1.111587,NA
1.121587,NA
1.131587,NA
1.141587,NA
1.151587,NA
1.161587,NA
1.171587,NA
1.181587,NA
1.191587,NA
1.201587,NA
1.211587,NA
1.221587,NA
1.231587,NA
1.241587,NA
1.251587,NA
1.261587,NA
1.271587,NA
1.281587,NA
1.291587,NA
1.301587,NA
1.311587,NA
1.321587,NA
1.331587,NA
1.341587,NA
1.351587,NA
1.361587,NA
1.371587,NA
1.381587,NA
1.391587,NA
1.401587,NA
1.411587,NA
1.421587,NA
1.431587,NA
1.441587,NA
1.451587,NA
1.461587,NA
1.471587,NA
1.481587,NA
1.491587,NA
1.501587,NA
1.511587,NA
1.521587,NA
1.531587,NA
1.541587,NA
1.551587,NA
1.561587,NA
1.571587,NA
1.581587,NA
