Time,Pitch_Hz
0.043651,NA
0.053651,NA
0.063651,NA
0.073651,NA
0.083651,NA
0.093651,NA
0.103651,NA
0.113651,NA
0.123651,NA
0.133651,NA
0.143651,NA
0.153651,NA
0.163651,NA
0.173651,NA
0.183651,NA
0.193651,NA
0.203651,NA
0.213651,NA
0.223651,NA
0.233651,NA
0.243651,NA
0.253651,NA
0.263651,NA
0.273651,NA
0.283651,NA
0.293651,NA
0.303651,NA
0.313651,NA
0.323651,NA
0.333651,NA
0.343651,NA
0.353651,NA
0.363651,NA
0.373651,NA
0.383651,NA
0.393651,NA
0.403651,195.86
0.413651,188.99
0.423651,175.95
0.433651,165.58
0.443651,160.67
0.453651,157.70
0.463651,155.47
0.473651,151.64
0.483651,159.89
0.493651,161.21
0.503651,163.19
0.513651,164.30
0.523651,164.68
0.533651,165.71
0.543651,167.17
0.553651,168.76
0.563651,169.92
0.573651,171.32
0.583651,171.53
0.593651,173.67
0.603651,175.07
0.613651,177.11
0.623651,178.93
0.633651,178.39
0.643651,171.79
0.653651,163.41
0.663651,159.18
0.673651,NA
0.683651,NA
0.693651,NA
0.703651,NA
0.713651,NA
0.723651,NA
0.733651,NA
0.743651,NA
0.753651,NA
0.763651,NA
0.773651,NA
0.783651,NA
0.793651,NA
0.803651,NA
0.813651,NA
0.823651,200.59
0.833651,193.94
0.843651,156.68
0.853651,144.11
0.863651,139.92
0.873651,136.82
0.883651,135.16
0.893651,135.71
0.903651,137.54
0.913651,138.35
0.923651,138.56
0.933651,138.60
0.943651,140.54
0.953651,138.34
0.963651,139.20
0.973651,138.38
0.983651,135.00
0.993651,132.82
1.003651,134.57
1.013651,135.96
1.023651,141.31
1.033651,142.88
1.043651,139.36
1.053651,132.75
1.063651,131.62
1.073651,129.03
1.083651,125.35
1.093651,133.59
1.103651,143.46
1.113651,146.08
1.123651,139.28
1.133651,134.97
1.143651,129.73
1.153651,125.97
1.163651,126.01
1.173651,125.65
1.183651,127.29
1.193651,132.92
1.203651,135.79
1.213651,138.79
1.223651,NA
1.233651,NA
1.243651,NA
1.253651,NA
1.263651,NA
1.273651,NA
1.283651,NA
1.293651,NA
1.303651,NA
1.313651,NA
1.323651,NA
1.333651,NA
1.343651,NA
1.353651,NA
1.363651,NA
1.373651,NA
1.383651,NA
1.393651,NA
1.403651,NA
1.413651,NA
1.423651,NA
1.433651,455.54
1.443651,442.98
1.453651,531.77
1.463651,533.33
