Time,Pitch_Hz
0.041712,NA
0.051712,NA
0.061712,NA
0.071712,NA
0.081712,NA
0.091712,NA
0.101712,NA
0.111712,NA
0.121712,NA
0.131712,NA
0.141712,NA
0.151712,NA
0.161712,NA
0.171712,NA
0.181712,NA
0.191712,NA
0.201712,NA
0.211712,433.25
0.221712,NA
0.231712,NA
0.241712,NA
0.251712,NA
0.261712,NA
0.271712,NA
0.281712,NA
0.291712,NA
0.301712,NA
0.311712,NA
0.321712,NA
0.331712,NA
0.341712,NA
0.351712,NA
0.361712,NA
0.371712,NA
0.381712,NA
0.391712,NA
0.401712,NA
0.411712,NA
0.421712,NA
0.431712,NA
0.441712,NA
0.451712,NA
0.461712,NA
0.471712,NA
0.481712,NA
0.491712,NA
0.501712,NA
0.511712,NA
0.521712,NA
0.531712,NA
0.541712,NA
0.551712,NA
0.561712,NA
0.571712,NA
0.581712,NA
0.591712,NA
0.601712,NA
0.611712,NA
0.621712,NA
0.631712,NA
0.641712,NA
0.651712,NA
0.661712,NA
0.671712,NA
0.681712,NA
0.691712,NA
0.701712,NA
0.711712,NA
0.721712,NA
0.731712,NA
0.741712,162.29
0.751712,163.71
0.761712,161.79
0.771712,159.82
0.781712,156.86
0.791712,156.75
0.801712,160.42
0.811712,162.07
0.821712,164.71
0.831712,166.64
0.841712,168.61
0.851712,171.09
0.861712,172.84
0.871712,168.52
0.881712,167.04
0.891712,169.03
0.901712,169.47
0.911712,173.99
0.921712,NA
0.931712,NA
0.941712,NA
0.951712,NA
0.961712,217.29
0.971712,211.19
0.981712,201.98
0.991712,200.15
1.001712,199.98
1.011712,203.24
1.021712,206.76
1.031712,209.60
1.041712,211.08
1.051712,212.29
1.061712,212.58
1.071712,212.60
1.081712,213.61
1.091712,214.15
1.101712,209.59
1.111712,201.18
1.121712,197.92
1.131712,198.64
1.141712,205.61
1.151712,214.33
1.161712,220.52
1.171712,224.15
1.181712,224.72
1.191712,224.15
1.201712,220.74
1.211712,200.66
1.221712,188.46
1.231712,186.09
1.241712,187.36
1.251712,187.37
1.261712,185.74
1.271712,183.27
1.281712,183.13
1.291712,183.77
1.301712,190.44
1.311712,190.88
1.321712,233.66
1.331712,241.58
1.341712,244.28
1.351712,250.94
1.361712,260.83
1.371712,269.28
1.381712,278.99
1.391712,285.13
1.401712,288.05
1.411712,287.78
1.421712,287.80
1.431712,287.54
1.441712,NA
1.451712,NA
1.461712,NA
1.471712,NA
1.481712,NA
1.491712,NA
1.501712,NA
1.511712,NA
1.521712,NA
1.531712,NA
1.541712,NA
1.551712,NA
1.561712,NA
1.571712,NA
1.581712,NA
1.591712,NA
1.601712,NA
1.611712,NA
1.621712,NA
1.631712,NA
1.641712,NA
1.651712,NA
1.661712,NA
1.671712,NA
1.681712,NA
1.691712,NA
1.701712,NA
1.711712,NA
1.721712,NA
1.731712,NA
