Time,Pitch_Hz
0.043753,NA
0.053753,NA
0.063753,NA
0.073753,NA
0.083753,NA
0.093753,NA
0.103753,NA
0.113753,NA
0.123753,NA
0.133753,NA
0.143753,NA
0.153753,NA
0.163753,NA
0.173753,NA
0.183753,NA
0.193753,NA
0.203753,NA
0.213753,NA
0.223753,NA
0.233753,NA
0.243753,NA
0.253753,NA
0.263753,NA
0.273753,NA
0.283753,NA
0.293753,NA
0.303753,NA
0.313753,NA
0.323753,NA
0.333753,NA
0.343753,NA
0.353753,NA
0.363753,NA
0.373753,NA
0.383753,NA
0.393753,NA
0.403753,NA
0.413753,NA
0.423753,159.92
0.433753,148.53
0.443753,148.03
0.453753,148.03
0.463753,148.26
0.473753,147.86
0.483753,151.11
0.493753,156.29
0.503753,159.76
0.513753,161.32
0.523753,162.31
0.533753,163.01
0.543753,164.07
0.553753,165.60
0.563753,166.64
0.573753,164.71
0.583753,161.35
0.593753,164.72
0.603753,164.13
0.613753,162.22
0.623753,160.72
0.633753,158.30
0.643753,155.37
0.653753,151.51
0.663753,150.26
0.673753,151.92
0.683753,156.82
0.693753,157.09
0.703753,157.16
0.713753,159.35
0.723753,163.15
0.733753,166.48
0.743753,171.16
0.753753,178.71
0.763753,184.55
0.773753,187.72
0.783753,191.00
0.793753,193.36
0.803753,191.22
0.813753,185.35
0.823753,94.91
0.833753,95.54
0.843753,94.96
0.853753,NA
0.863753,NA
0.873753,NA
0.883753,NA
0.893753,NA
0.903753,NA
0.913753,NA
0.923753,NA
0.933753,NA
0.943753,224.37
0.953753,219.11
0.963753,218.59
0.973753,219.91
0.983753,219.86
0.993753,219.14
1.003753,218.63
1.013753,218.02
1.023753,218.12
1.033753,218.70
1.043753,218.39
1.053753,216.84
1.063753,213.95
1.073753,NA
1.083753,NA
1.093753,NA
1.103753,NA
1.113753,NA
1.123753,NA
1.133753,NA
1.143753,NA
1.153753,NA
1.163753,268.87
1.173753,270.94
1.183753,271.72
1.193753,276.12
1.203753,282.99
1.213753,291.76
1.223753,299.41
1.233753,307.10
1.243753,320.77
1.253753,337.77
1.263753,342.91
1.273753,351.65
1.283753,NA
1.293753,NA
1.303753,NA
1.313753,NA
1.323753,NA
1.333753,NA
1.343753,NA
1.353753,NA
1.363753,NA
1.373753,NA
1.383753,NA
1.393753,NA
1.403753,NA
1.413753,NA
1.423753,NA
1.433753,NA
1.443753,NA
1.453753,NA
1.463753,NA
1.473753,NA
1.483753,NA
1.493753,NA
1.503753,NA
1.513753,NA
1.523753,NA
1.533753,NA
