Time,Pitch_Hz
0.040794,NA
0.050794,NA
0.060794,NA
0.070794,NA
0.080794,NA
0.090794,NA
0.100794,NA
0.110794,NA
0.120794,NA
0.130794,NA
0.140794,NA
0.150794,NA
0.160794,NA
0.170794,NA
0.180794,NA
0.190794,NA
0.200794,NA
0.210794,NA
0.220794,NA
0.230794,NA
0.240794,NA
0.250794,NA
0.260794,NA
0.270794,NA
0.280794,NA
0.290794,NA
0.300794,NA
0.310794,NA
0.320794,NA
0.330794,NA
0.340794,138.95
0.350794,141.76
0.360794,140.25
0.370794,136.24
0.380794,138.29
0.390794,137.92
0.400794,138.22
0.410794,139.14
0.420794,137.35
0.430794,136.99
0.440794,135.57
0.450794,134.16
0.460794,133.87
0.470794,132.96
0.480794,136.04
0.490794,135.65
0.500794,137.06
0.510794,135.86
0.520794,135.70
0.530794,136.84
0.540794,137.00
0.550794,138.03
0.560794,138.55
0.570794,137.74
0.580794,138.68
0.590794,139.62
0.600794,139.22
0.610794,140.74
0.620794,142.25
0.630794,143.78
0.640794,144.58
0.650794,144.60
0.660794,145.44
0.670794,NA
0.680794,NA
0.690794,NA
0.700794,NA
0.710794,NA
0.720794,NA
0.730794,NA
0.740794,NA
0.750794,175.16
0.760794,171.61
0.770794,165.80
0.780794,166.91
0.790794,167.79
0.800794,166.88
0.810794,167.47
0.820794,169.00
0.830794,168.07
0.840794,167.43
0.850794,168.28
0.860794,168.38
0.870794,167.74
0.880794,166.08
0.890794,163.82
0.900794,162.04
0.910794,158.01
0.920794,154.06
0.930794,149.54
0.940794,NA
0.950794,NA
0.960794,NA
0.970794,NA
0.980794,162.49
0.990794,156.91
1.000794,150.20
1.010794,148.82
1.020794,147.28
1.030794,145.71
1.040794,139.91
1.050794,NA
1.060794,NA
1.070794,NA
1.080794,NA
1.090794,NA
1.100794,NA
1.110794,NA
1.120794,NA
1.130794,NA
1.140794,NA
1.150794,153.54
1.160794,142.21
1.170794,137.64
1.180794,138.74
1.190794,138.21
1.200794,136.31
1.210794,133.37
1.220794,133.38
1.230794,133.42
1.240794,132.19
1.250794,132.75
1.260794,132.58
1.270794,133.63
1.280794,132.53
1.290794,132.14
1.300794,132.29
1.310794,131.50
1.320794,131.19
1.330794,129.57
1.340794,128.58
1.350794,129.33
1.360794,129.26
1.370794,128.39
1.380794,129.30
1.390794,128.05
1.400794,125.97
1.410794,135.03
1.420794,131.85
1.430794,NA
1.440794,NA
1.450794,NA
1.460794,NA
1.470794,NA
1.480794,NA
1.490794,NA
1.500794,NA
1.510794,NA
1.520794,NA
1.530794,NA
1.540794,NA
1.550794,NA
1.560794,NA
1.570794,NA
1.580794,NA
