Time,Pitch_Hz
0.044365,NA
0.054365,NA
0.064365,NA
0.074365,NA
0.084365,NA
0.094365,NA
0.104365,NA
0.114365,NA
0.124365,NA
0.134365,NA
0.144365,NA
0.154365,NA
0.164365,NA
0.174365,NA
0.184365,NA
0.194365,NA
0.204365,NA
0.214365,NA
0.224365,NA
0.234365,NA
0.244365,NA
0.254365,NA
0.264365,NA
0.274365,NA
0.284365,NA
0.294365,NA
0.304365,NA
0.314365,NA
0.324365,159.78
0.334365,159.69
0.344365,155.46
0.354365,151.87
0.364365,150.60
0.374365,150.24
0.384365,147.74
0.394365,147.77
0.404365,144.47
0.414365,149.07
0.424365,148.46
0.434365,147.78
0.444365,145.28
0.454365,145.50
0.464365,145.83
0.474365,143.31
0.484365,138.52
0.494365,140.41
0.504365,144.76
0.514365,153.22
0.524365,160.48
0.534365,155.22
0.544365,155.69
0.554365,157.42
0.564365,159.42
0.574365,160.47
0.584365,162.15
0.594365,163.37
0.604365,164.86
0.614365,165.76
0.624365,166.60
0.634365,167.23
0.644365,167.81
0.654365,167.33
0.664365,166.17
0.674365,165.31
0.684365,163.60
0.694365,161.53
0.704365,161.27
0.714365,160.25
0.724365,158.73
0.734365,156.46
0.744365,155.31
0.754365,155.30
0.764365,156.95
0.774365,159.12
0.784365,159.98
0.794365,160.92
0.804365,160.93
0.814365,160.13
0.824365,160.79
0.834365,159.27
0.844365,158.09
0.854365,154.67
0.864365,151.44
0.874365,146.99
0.884365,144.86
0.894365,142.74
0.904365,140.55
0.914365,138.68
0.924365,139.45
0.934365,139.22
0.944365,138.29
0.954365,138.93
0.964365,140.04
0.974365,143.31
0.984365,142.16
0.994365,142.98
1.004365,159.74
1.014365,151.80
1.024365,NA
1.034365,NA
1.044365,NA
1.054365,NA
1.064365,NA
1.074365,NA
1.084365,NA
1.094365,NA
1.104365,NA
1.114365,NA
1.124365,NA
1.134365,NA
1.144365,NA
1.154365,NA
1.164365,NA
1.174365,NA
1.184365,NA
1.194365,NA
1.204365,NA
1.214365,NA
1.224365,NA
1.234365,NA
1.244365,NA
1.254365,NA
1.264365,NA
1.274365,NA
