Time,Pitch_Hz
0.044683,NA
0.054683,NA
0.064683,NA
0.074683,NA
0.084683,NA
0.094683,NA
0.104683,NA
0.114683,NA
0.124683,NA
0.134683,NA
0.144683,NA
0.154683,NA
0.164683,NA
0.174683,NA
0.184683,NA
0.194683,NA
0.204683,NA
0.214683,NA
0.224683,NA
0.234683,206.95
0.244683,200.09
0.254683,185.66
0.264683,163.88
0.274683,156.25
0.284683,144.51
0.294683,142.12
0.304683,143.95
0.314683,142.53
0.324683,141.91
0.334683,141.12
0.344683,141.83
0.354683,139.73
0.364683,139.25
0.374683,143.03
0.384683,142.29
0.394683,141.59
0.404683,140.29
0.414683,139.42
0.424683,135.97
0.434683,135.59
0.444683,135.90
0.454683,135.06
0.464683,137.31
0.474683,139.86
0.484683,141.67
0.494683,142.40
0.504683,141.77
0.514683,141.03
0.524683,137.56
0.534683,135.17
0.544683,135.49
0.554683,136.00
0.564683,136.09
0.574683,138.26
0.584683,141.35
0.594683,139.78
0.604683,140.70
0.614683,141.15
0.624683,141.09
0.634683,142.83
0.644683,143.86
0.654683,144.47
0.664683,144.31
0.674683,145.01
0.684683,144.67
0.694683,148.04
0.704683,147.24
0.714683,151.48
0.724683,151.95
0.734683,152.38
0.744683,151.83
0.754683,158.76
0.764683,161.66
0.774683,164.31
0.784683,170.44
0.794683,172.85
0.804683,176.45
0.814683,181.68
0.824683,187.40
0.834683,197.03
0.844683,201.23
0.854683,207.30
0.864683,215.62
0.874683,223.13
0.884683,232.87
0.894683,233.18
0.904683,NA
0.914683,NA
0.924683,NA
0.934683,NA
0.944683,NA
0.954683,NA
0.964683,NA
0.974683,NA
0.984683,NA
0.994683,NA
1.004683,NA
1.014683,NA
1.024683,NA
1.034683,NA
1.044683,NA
1.054683,NA
1.064683,NA
1.074683,NA
1.084683,NA
1.094683,NA
1.104683,NA
1.114683,NA
1.124683,NA
1.134683,NA
1.144683,NA
1.154683,NA
1.164683,NA
1.174683,NA
1.184683,NA
1.194683,NA
1.204683,NA
1.214683,NA
