Time,Pitch_Hz
0.040317,NA
0.050317,NA
0.060317,NA
0.070317,NA
0.080317,NA
0.090317,NA
0.100317,NA
0.110317,NA
0.120317,NA
0.130317,NA
0.140317,NA
0.150317,NA
0.160317,NA
0.170317,NA
0.180317,NA
0.190317,NA
0.200317,NA
0.210317,NA
0.220317,NA
0.230317,NA
0.240317,206.22
0.250317,206.89
0.260317,209.19
0.270317,NA
0.280317,NA
0.290317,NA
0.300317,NA
0.310317,NA
0.320317,172.07
0.330317,163.26
0.340317,146.14
0.350317,143.89
0.360317,139.55
0.370317,135.50
0.380317,138.34
0.390317,136.09
0.400317,NA
0.410317,NA
0.420317,NA
0.430317,NA
0.440317,NA
0.450317,NA
0.460317,NA
0.470317,159.21
0.480317,155.51
0.490317,144.47
0.500317,142.59
0.510317,141.85
0.520317,141.04
0.530317,138.37
0.540317,139.21
0.550317,138.70
0.560317,138.76
0.570317,139.26
0.580317,138.84
0.590317,141.42
0.600317,141.53
0.610317,138.17
0.620317,138.28
0.630317,138.81
0.640317,139.37
0.650317,140.24
0.660317,140.49
0.670317,139.11
0.680317,138.86
0.690317,143.09
0.700317,NA
0.710317,NA
0.720317,NA
0.730317,NA
0.740317,NA
0.750317,NA
0.760317,NA
0.770317,NA
0.780317,NA
0.790317,NA
0.800317,NA
0.810317,NA
0.820317,NA
0.830317,152.97
0.840317,153.74
0.850317,149.85
0.860317,147.74
0.870317,148.97
0.880317,150.15
0.890317,152.42
0.900317,154.13
0.910317,154.33
0.920317,155.05
0.930317,156.52
0.940317,156.08
0.950317,149.76
0.960317,136.06
0.970317,NA
0.980317,NA
0.990317,NA
1.000317,NA
1.010317,NA
1.020317,NA
1.030317,NA
1.040317,NA
1.050317,NA
1.060317,191.23
1.070317,185.18
1.080317,185.22
1.090317,NA
1.100317,NA
1.110317,NA
1.120317,142.61
1.130317,144.35
1.140317,143.86
1.150317,142.57
1.160317,140.47
1.170317,140.34
1.180317,NA
1.190317,NA
1.200317,NA
1.210317,NA
1.220317,NA
1.230317,NA
1.240317,NA
1.250317,NA
1.260317,NA
1.270317,NA
1.280317,NA
1.290317,NA
1.300317,NA
1.310317,NA
1.320317,NA
1.330317,NA
1.340317,NA
1.350317,NA
1.360317,NA
1.370317,NA
1.380317,NA
1.390317,NA
1.400317,NA
1.410317,NA
1.420317,NA
1.430317,NA
1.440317,NA
1.450317,NA
1.460317,NA
